Geographic Area Name,Bush 2000 percentage in decimal,Gore 2000 percentage in decimal,"2020 Margin in decimal ( + is Trump, - is Biden)",Land Area mi2,2000 Population,2020 Total Population,Male population,Female population,Median Age ,White %,Black %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander,Some Other Race,Hispanic or Latino (of any race) %,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Total Population part of Households,Total Households,Median Household Income
"Childress County, Texas",0.7084,0.2832,0.7165,696.405,7688,6664,3844,2820,35.4,75.2,10.1,2.4,1.4,0.5,20.6,29.1,17.1,36.1,27.8,18.9,5433,2282,"42,758"
"Clay County, Texas",0.6711,0.3149,0.7760,1088.721,11006,10218,5076,5142,47,96.2,1.2,4.1,0.9,0.1,4.7,6.3,8,34.3,34.6,23.1,10146,4262,"60,973"
"Cochran County, Texas",0.6892,0.2938,0.6320,775.15,3730,2547,1248,1299,36,73.5,3.7,2,0.6,0.1,38.4,60,32.6,33.3,24.5,9.7,2533,940,"42,274"
"Coke County, Texas",0.7505,0.2343,0.7915,911.47,3864,3285,1611,1674,50.1,93.1,0.7,3.6,0.5,0.4,13,20.1,16.2,33.4,30,20.4,3227,1415,"46,767"
"Coleman County, Texas",0.751,0.2384,0.7735,1261.946,9235,7684,3790,3894,50.9,92.1,3.1,3.4,0.8,0.1,8,15.5,14.2,31.8,35,19,7656,3480,"42,253"
"Collin County, Texas",0.7307,0.2445,0.0434,841.225,491675,1064465,522330,542135,36.5,64.9,11.9,2.6,19.4,0.2,12.8,15.9,6.1,14.7,25.8,53.4,1057649,381318,"102,119"
"Collingsworth County, Texas",0.6883,0.3032,0.7332,918.441,3206,2652,1267,1385,42.2,82.8,5.6,3.2,1.2,0.8,18.7,31.4,25.4,23.1,27.8,23.6,2624,1096,"45,734"
"Colorado County, Texas",0.6777,0.3075,0.5065,960.274,20390,20557,10228,10329,45.6,74.9,12.3,1.8,0.6,0.1,21.8,29.1,15.6,35.8,27.9,20.7,20127,8138,"62,004"
"Comal County, Texas",0.7512,0.2178,0.4267,559.476,78021,161501,79319,82182,43.5,89,3.3,3,2.2,0.3,19,27,6.2,23.9,30.3,39.6,159992,62232,"93,487"
"Comanche County, Texas",0.6639,0.3258,0.7105,937.754,14026,13594,6798,6796,45.9,87.9,0.9,3.3,0.5,0.1,20.2,28.4,14.5,32.2,34,19.3,13460,5529,"49,076"
"Concho County, Texas",0.7416,0.243,0.6790,983.799,3966,3303,2153,1150,42.6,85.2,3.2,2.1,1.4,0.3,18.4,31.3,24.7,37.7,24.7,12.8,2247,977,"48,563"
"Cooke County, Texas",0.7519,0.2341,0.6523,874.759,36363,41668,20605,21063,40.1,87,4,4.2,1.1,0.1,15.3,20.4,12.1,31.8,34,22,41008,15738,"58,060"
"Coryell County, Texas",0.6841,0.2978,0.3352,1052.066,74978,83093,41482,41611,31.6,71.8,18.4,3.3,3.9,1.9,14,19.8,10.8,28.8,43,17.3,70318,25757,"59,718"
"Cottle County, Texas",0.6631,0.3184,0.6450,900.563,1904,1380,671,709,47,82,9.3,2.8,1.3,0.9,14.6,23.7,14.6,28.2,37.5,19.6,1380,613,"44,590"
"Crane County, Texas",0.7533,0.234,0.6693,785.069,3996,4675,2365,2310,34.9,77.2,2.2,2.1,0.8,0.3,42.4,67.6,24.5,37.4,23.9,14.3,4588,1562,"63,555"
"Crockett County, Texas",0.6609,0.334,0.5565,2807.327,4099,3098,1550,1548,43.2,83,1.2,2.6,0.7,0.3,35.8,62,20.3,38.2,25.4,16.2,3047,1211,"53,159"
"Crosby County, Texas",0.6344,0.3521,0.4450,900.198,7072,5133,2508,2625,42,78.3,4,2.2,0.8,0.3,31.2,55.1,22.8,37.3,25.4,14.5,5070,1984,"42,728"
"Culberson County, Texas",0.4081,0.5702,-0.0266,3812.798,2975,2188,1124,1064,40.6,72.7,2.2,2.6,2.3,0.3,48.2,75.2,36.3,39.1,7.4,17.2,2138,881,"48,217"
"Dallam County, Texas",0.7942,0.1955,0.7408,1503.259,6222,7115,3773,3342,32.3,77.8,2,3.2,0.5,0.2,40.5,52.1,29.6,31.2,23.4,15.7,7092,2546,"70,895"
"Dallas County, Texas",0.5258,0.4491,-0.3163,871.279,2218899,2613539,1290949,1322590,34.2,50.5,23.4,2.9,7.8,0.2,32,40.5,19.3,22.6,25.2,33,2581853,965537,"63,549"
"Dawson County, Texas",0.6896,0.3023,0.5656,900.306,14985,12456,6813,5643,37.3,76.6,8.1,1.9,0.7,0.1,29,54.3,29.2,33.1,24.1,13.7,10877,4079,"43,627"
"Deaf Smith County, Texas",0.7398,0.2488,0.4403,1496.868,18561,18583,9333,9250,33,73,1.6,2.2,0.4,0.1,47.7,74.9,25.8,40.4,22.4,11.4,18423,6263,"50,967"
"Delta County, Texas",0.6016,0.3821,0.6786,256.825,5327,5230,2555,2675,44.5,89.2,7.7,4.2,1.2,0.4,5.4,7.5,12.7,31.9,33.2,22.3,5171,2095,"50,329"
"Denton County, Texas",0.696,0.2735,0.0808,878.432,432976,906422,443095,463327,35.4,70.2,12.5,3.1,11.7,0.3,15.7,20.2,6.7,16.9,29,47.3,897070,328884,"98,027"
"DeWitt County, Texas",0.7344,0.2539,0.6249,908.975,20013,19824,10337,9487,42.8,77.6,9.4,2.1,0.5,0.1,21.5,34.8,16.9,40.8,29.7,12.6,18290,7315,"54,279"
"Dickens County, Texas",0.6686,0.3224,0.7318,901.724,2762,1770,870,900,47.3,87.6,3.6,3.2,1.2,0.8,17.7,28.9,16.2,32.8,30.8,20.2,1768,778,"42,690"
"Dimmit County, Texas",0.275,0.7136,-0.2400,1328.884,10248,8615,4183,4432,38.2,79.3,1.5,1.5,1.1,0.3,51.8,86.9,31.4,32.5,23.1,13,8438,3020,"41,838"
"Donley County, Texas",0.7755,0.2094,0.7524,926.886,3828,3258,1635,1623,46.5,89.4,7,4.2,1.3,0.4,7.6,10.9,14,32.1,38.2,15.7,3025,1340,"44,353"
"Duval County, Texas",0.2008,0.7932,-0.0261,1793.481,13120,9831,5108,4723,39.3,84.7,2.1,1,0.7,0.1,45.8,81,27.6,33.4,30.1,8.8,9233,3507,"37,921"
"Eastland County, Texas",0.7064,0.2766,0.7542,926.491,18297,17725,8706,9019,43.4,90.7,2.8,3.2,1,0.2,10.8,16.6,15,29.1,34.5,21.4,16943,7167,"47,526"
"Ector County, Texas",0.6958,0.2865,0.4785,897.687,121123,165171,83944,81227,32.8,71.3,5.8,2.4,1.8,0.3,42.3,60.6,23.7,29.8,30.3,16.3,162621,57336,"58,389"
"Edwards County, Texas",0.7076,0.2785,0.6801,2117.858,2162,1422,712,710,51.4,89.7,1.2,3.2,1.8,0.8,28.8,50.5,21.6,21.8,35.6,21,1406,577,"47,573"
"Ellis County, Texas",0.3969,0.5781,0.3410,935.487,111360,192455,94548,97907,36.6,74.7,14,3.1,1.4,0.2,20.4,27,12.6,27.2,33.9,26.3,190652,64996,"87,698"
"El Paso County, Texas",0.6994,0.2849,-0.3510,1012.693,679622,865657,421004,444653,34.2,71.3,4.4,2.4,2.1,0.4,56,82.6,20.2,23.8,31.3,24.7,849697,296400,"50,983"
"Erath County, Texas",0.7311,0.2523,0.6389,1083.071,33001,42545,20615,21930,31.5,86.3,3.9,3.2,1.3,0.2,15.5,21.8,12.4,27.8,29,30.9,38789,15858,"51,964"
"Falls County, Texas",0.5668,0.4229,0.3714,765.483,18576,16968,7463,9505,41.2,65.6,23.7,2.1,0.6,0.1,16.2,23.4,20.5,33.5,33.3,12.7,14913,5958,"46,173"
"Fannin County, Texas",0.5874,0.3967,0.6342,890.837,31242,35662,19012,16650,41.7,86.3,7.4,4.2,0.9,0.1,8.8,11.8,14.1,35.1,32.1,18.6,32703,12857,"56,794"
"Fayette County, Texas",0.7093,0.2708,0.5803,950.008,21804,24435,11907,12528,49.1,84.6,7,2.3,0.5,0.1,15.9,21.3,11.5,38.8,26.7,23,24047,10162,"64,711"
"Fisher County, Texas",0.5171,0.4722,0.6002,898.941,4344,3672,1816,1856,47,88.6,4.1,2.1,0.7,0.3,14.2,26.5,13.6,34.9,31.9,19.6,3645,1555,"51,362"
"Floyd County, Texas",0.7562,0.2397,0.5620,992.143,7771,5402,2673,2729,40.3,83.9,3.8,1.6,0.7,0.4,37.3,56.8,26.3,29.6,29.1,14.9,5381,2125,"43,855"
"Foard County, Texas",0.5144,0.473,0.6279,704.397,1622,1095,539,556,52,89.7,3,2.6,1.1,0.5,10.7,18,24.3,23.4,35.3,17,1055,474,"42,616"
"Fort Bend County, Texas",0.5956,0.3851,-0.1058,861.481,354452,822779,400350,422429,37.1,46.3,22.3,1.7,23.6,0.2,19.4,24.1,9,17.9,25,48.1,818097,263128,"98,070"
"Franklin County, Texas",0.697,0.2932,0.6702,284.391,9458,10359,5046,5313,43.8,87.5,5.2,3.9,1,0.3,12,14,9.7,27.5,33.6,29.2,10289,4046,"51,885"
"Freestone County, Texas",0.6395,0.3487,0.6149,877.739,17867,19435,10149,9286,44,74.3,15.6,2.5,0.7,0.3,13.2,16.2,17.4,33.4,33.2,16,17910,7256,"48,397"
"Frio County, Texas",0.4297,0.5613,0.0760,1133.5,16252,18385,10153,8232,33,66.7,4.2,1.3,1.2,0.1,47.3,77.1,34.5,37.7,18.9,8.9,14815,5190,"47,833"
"Gaines County, Texas",0.778,0.209,0.7972,1502.375,14467,21598,10918,10680,28.2,87.4,1.6,1.6,0.6,0.2,26.5,38.9,38.4,32.6,18.3,10.7,21452,6765,"58,712"
"Galveston County, Texas",0.542,0.4304,0.2262,378.358,250158,350682,171562,179120,39,74.1,14,2.8,4.5,0.2,18.5,25.3,10.1,24.3,32.3,33.2,345781,132819,"77,627"
"Garza County, Texas",0.7356,0.2565,0.7151,893.412,4872,5816,3760,2056,40.4,81.7,6.6,1.4,1,0.3,17.9,56.3,33.8,32.4,22.2,11.6,4045,1636,"43,890"
"Gillespie County, Texas",0.8161,0.1523,0.5893,1058.214,20814,26725,12918,13807,53.2,92.3,0.9,2.5,0.8,0.1,16.3,21.6,10.4,26.4,28,35.2,26372,11486,"71,594"
"Glasscock County, Texas",0.9247,0.0683,0.8760,900.218,1406,1116,579,537,40.6,89.8,2.4,2.7,0.2,0.5,19.3,34.7,24.5,18.3,26.4,30.8,1116,428,"116,958"
"Goliad County, Texas",0.6215,0.3635,0.5537,852.014,6928,7012,3465,3547,46.5,87.4,5,2.1,0.9,0.1,20,32.6,16.3,28.7,36.8,18.1,6925,2815,"58,937"
"Gonzales County, Texas",0.6742,0.3093,0.4811,1066.688,18628,19653,9784,9869,40.1,73.7,7.1,2,0.6,0.1,33.5,50.4,23.5,43,19.8,13.6,19368,7275,"48,164"
"Gray County, Texas",0.8225,0.1681,0.7724,925.974,22744,21227,11173,10054,39.2,81.6,4.9,3.4,0.9,0.1,22.3,29.9,19,33.2,33.2,14.6,19687,7939,"45,530"
"Grayson County, Texas",0.6409,0.3417,0.4989,932.804,110595,135543,66175,69368,40.2,83.8,7.3,5.5,2,0.2,12.2,15.4,9.7,30.1,38.5,21.8,133460,52307,"62,678"
"Gregg County, Texas",0.6957,0.2926,0.3688,273.303,111379,124239,60004,64235,37.5,67.8,22.1,2.7,1.7,0.1,15.5,19.3,14.1,28.1,36.5,21.2,120846,48130,"57,608"
"Grimes County, Texas",0.617,0.3602,0.5316,787.459,23552,29268,15837,13431,42.9,74,14.4,2.8,0.7,0.1,19.2,25.2,18.3,33.6,30.5,17.6,26598,10133,"52,540"
"Guadalupe County, Texas",0.7033,0.2719,0.2416,711.3,89023,172706,84751,87955,37.7,78.4,9.3,3,3.2,0.5,25.9,37.8,10.7,30.3,30.3,28.7,170886,59975,"80,145"
"Hale County, Texas",0.7539,0.2369,0.5111,1004.683,36602,32522,16691,15831,35.9,70.7,5.6,2.5,0.7,0.2,40,59.9,24.8,32,26.5,16.7,30615,11396,"47,373"
"Hall County, Texas",0.668,0.3264,0.7080,883.492,3782,2825,1396,1429,47.2,78.4,8.4,2.8,1.1,0.3,22.4,33.6,17.4,33,30.3,19.3,2784,1220,"34,766"
"Hamilton County, Texas",0.7248,0.2601,0.6841,835.914,8229,8222,4047,4175,47.4,94.1,0.8,2.9,0.8,0.2,9.2,12.7,13.1,35.7,29.6,21.6,8058,3365,"53,759"
"Hansford County, Texas",0.8975,0.0948,0.8222,919.81,5369,5285,2623,2662,36.8,74,0.8,2.2,0.3,0.2,36.3,49.5,27.3,28.4,20.6,23.7,5220,1936,"57,692"
"Hardeman County, Texas",0.6268,0.3635,0.6892,695.114,4724,3549,1767,1782,42.9,85.5,5.5,2.8,0.8,0.5,14.1,23,14.5,36.9,32.7,15.8,3524,1509,"45,677"
"Hardin County, Texas",0.6707,0.3137,0.7376,890.567,48073,56231,27593,28638,39.9,91.3,6.3,2.5,1.1,0.1,4.9,6.1,11.5,39.4,30.3,18.7,55841,21616,"67,183"
"Harris County, Texas",0.5428,0.4291,-0.1326,1703.478,3400578,4731145,2330297,2400848,34.3,52.2,20.7,2.7,8.3,0.2,33.5,43,18.1,22.8,26.6,32.5,4683148,1692730,"63,539"
"Harrison County, Texas",0.6023,0.3865,0.4563,899.951,62110,68839,33634,35205,38.6,70.7,21.1,3.1,1,0.1,11.5,14.3,11.9,32.8,34.2,21.1,66818,25648,"56,645"
"Hartley County, Texas",0.8099,0.1768,0.8051,1462.033,5537,5382,3111,2271,38.7,79.6,4.6,1.7,0.7,0.3,23.8,30.3,14,35.5,27.4,23.1,4557,1716,"71,332"
"Haskell County, Texas",0.5084,0.4786,0.6716,903.131,6093,5416,2828,2588,43.5,84.5,4.9,2.7,0.8,0.2,15.7,25.4,21.1,38.3,22.9,17.7,4920,2112,"43,546"
"Hays County, Texas",0.5878,0.3318,-0.1083,677.978,97589,241067,118350,122717,32.3,79.6,5.4,3,4.2,1.2,27.3,38.5,9.5,22.6,29.1,38.7,233192,86904,"79,336"
"Hemphill County, Texas",0.8161,0.1703,0.7442,906.286,3351,3382,1681,1701,38.1,83.7,0.9,3.9,1.2,0.3,25,33.6,14.5,35.7,28.1,21.7,3340,1243,"65,387"
"Henderson County, Texas",0.648,0.3396,0.6018,873.748,73277,82150,40383,41767,45,86.6,6.9,3.3,1,0.2,10.8,13.7,15.2,33.6,33,18.2,80984,32748,"50,348"
"Hidalgo County, Texas",0.379,0.6075,-0.1706,1570.865,569463,870781,423604,447177,31.1,74.7,0.8,1.4,1.2,0,62.7,91.9,32.7,24.3,23.6,19.5,862858,258542,"44,260"
"Hill County, Texas",0.6571,0.3283,0.6072,958.864,32321,35874,17860,18014,42.6,82.7,7,3.5,0.8,0.1,16.6,22,14.6,34.4,33.7,17.3,35357,13729,"52,495"
"Hockley County, Texas",0.7784,0.2104,0.6243,908.392,22716,21537,10565,10972,37.1,80.6,3.7,2.5,0.5,0.1,29.8,49.3,23.5,26.4,33.1,17,21242,7954,"51,078"
"Hood County, Texas",0.71,0.2687,0.6407,420.641,41100,61598,30079,31519,48,92.7,1.5,3.4,1.2,0.2,10.3,12.9,8.1,28.1,33.4,30.4,60702,24811,"68,911"
"Hopkins County, Texas",0.6486,0.3384,0.6069,767.174,31960,36787,18014,18773,39.9,83.1,7.7,3.2,1.1,0.2,13.6,17.6,13.8,34.8,30.4,21,36330,13947,"56,680"
"Houston County, Texas",0.6445,0.344,0.5029,1230.909,23185,22066,11929,10137,45.2,66,24.8,2,0.8,0.1,12.1,13.9,20.4,36.6,28.7,14.3,19377,8132,"45,603"
"Howard County, Texas",0.6984,0.2874,0.5845,900.791,33627,34860,19687,15173,37.7,81.4,6.1,2.8,1.6,0.2,22.3,46.4,19.5,33.9,32.9,13.7,29922,11674,"55,842"
"Hudspeth County, Texas",0.5575,0.4121,0.3502,4570.983,3344,3202,1684,1518,35.8,77.8,0.9,3.4,0.7,0.2,38,63.6,50.3,22.9,18.3,8.4,2186,833,"38,904"
"Hunt County, Texas",0.6612,0.3211,0.5251,840.318,76596,99956,49310,50646,37.7,81.7,9.4,4.1,1.6,0.3,14.8,19.7,12.7,35,31,21.3,96972,36076,"58,326"
"Hutchinson County, Texas",0.796,0.1921,0.7657,887.419,23857,20617,10246,10371,39,84.7,3.7,5.9,1,0.1,16.5,24.1,13.7,33,36.7,16.6,20333,8171,"56,646"
"Irion County, Texas",0.7869,0.2043,0.7188,1051.563,1771,1513,756,757,45.3,88.9,2,2.9,1.5,1.3,16.4,23.1,11.3,26.3,44.1,18.3,1505,617,"69,966"
"Jack County, Texas",0.7085,0.2764,0.8162,910.662,8763,8472,4708,3764,40.1,85.6,4.1,2.8,0.8,0.2,14.1,18,18.4,38.2,28.6,14.8,7396,2950,"51,846"
"Jackson County, Texas",0.693,0.2978,0.6621,829.435,14391,14988,7433,7555,40,78.7,7.9,2.3,1.5,0.2,23.9,32.2,19.4,33.1,32,15.5,14610,5558,"60,666"
"Jasper County, Texas",0.6022,0.3861,0.6143,938.845,35604,32980,16250,16730,43.7,78.4,18,2.3,0.6,0.1,5.5,6.7,15.5,43.8,27.6,13.1,32165,13050,"50,038"
"Jeff Davis County, Texas",0.6679,0.267,0.2169,2264.555,2207,1996,993,1003,58.4,89,1.4,4.1,2,1.1,21.3,30.7,13.4,17.9,41.5,27.2,1996,965,"56,149"
"Jefferson County, Texas",0.4639,0.5225,0.0158,876.295,252051,256526,130947,125579,37.4,50.5,34.5,2,4.4,0.1,17.7,23,15.1,32,33.7,19.1,242772,95658,"55,575"
"Jim Hogg County, Texas",0.2888,0.701,-0.1788,1136.138,5281,4838,2355,2483,38.2,84.7,0.2,1.2,0.7,0.4,49.8,88.5,27.2,36.5,23.2,13.2,4746,1712,"37,454"
"Jim Wells County, Texas",0.3741,0.617,0.0976,864.966,39326,38891,19015,19876,37.9,85.1,1.1,1.7,0.6,0.1,40.1,79.3,21.1,37.5,25.8,15.6,38566,13764,"43,852"
"Johnson County, Texas",0.6766,0.3041,0.5300,724.692,126811,179927,89761,90166,37.4,84.1,4.9,3.7,1.6,0.7,17.8,23.7,13.7,35.3,30.6,20.5,176561,61654,"76,226"
"Jones County, Texas",0.6746,0.314,0.6914,928.554,20785,19663,12246,7417,39.2,73.2,11.1,2.1,0.8,0.2,20.7,28,19.3,38.8,29.8,12.1,14441,5735,"52,288"
"Karnes County, Texas",0.6123,0.3753,0.5209,747.556,15446,14710,8584,6126,39.2,73.3,8.6,1.8,1.3,0.2,33.2,52.6,24.9,37,22.1,15.9,11637,4594,"48,470"
"Kaufman County, Texas",0.663,0.3232,0.3389,780.699,71313,145310,70913,74397,35.2,72.6,16.8,3.3,2.1,0.2,18.6,24.9,13.6,29.7,34.5,22.2,143800,47673,"73,660"
"Kendall County, Texas",0.7936,0.1717,0.5319,662.453,23743,44279,21528,22751,45.1,91.6,1.4,2.7,1.7,0.3,17,22.6,6.7,14.7,31.1,47.5,43435,16406,"102,832"
"Kenedy County, Texas",0.4649,0.5219,0.3196,1458.329,414,350,169,181,41,73.7,3.4,5.1,2.9,2,55.1,74.6,81.6,14.6,0,3.9,348,131,"42,379"
"Kent County, Texas",0.6455,0.3451,0.7879,902.507,859,753,370,383,52.8,93.5,1.5,1.7,1.2,1.1,7.8,10.8,11.1,23.8,32.3,32.8,704,312,"54,154"
"Kerr County, Texas",0.7612,0.2081,0.5174,1103.318,43653,52598,25523,27075,50.6,89.1,2.1,2.6,1.6,0.2,18.6,25.9,9.8,28.6,32.4,29.1,50688,22060,"60,834"
"Kimble County, Texas",0.7881,0.1969,0.7430,1250.987,4468,4286,2120,2166,51.8,90.3,0.9,2.9,1.4,0.4,13.8,23,14.3,28.8,28.8,28.1,4277,1949,"48,671"
"King County, Texas",0.8759,0.1022,0.8994,910.872,356,265,123,142,38.1,93.2,3,3.4,1.5,3,4.2,9.4,23.5,35.5,15.7,25.3,265,108,"74,890"
"Kinney County, Texas",0.6454,0.3366,0.4354,1360.055,3379,3129,1743,1386,46.1,87.9,2.1,3.4,1.5,0.5,30.1,47,15,25.7,42.6,16.7,2684,1156,"50,567"
"Kleberg County, Texas",0.4923,0.4874,0.0174,881.308,31549,31040,15622,15418,32.2,80.6,4.4,1.9,3.1,0.1,35.7,70.6,19.4,32.9,24.8,23,29708,11530,"49,226"
"Knox County, Texas",0.6009,0.3915,0.6284,850.621,4253,3353,1679,1674,42.7,79.6,6.3,2.4,1,0.3,20.2,33.7,19,31.2,34.9,14.9,3258,1321,"45,558"
"Lamar County, Texas",0.6335,0.3599,0.5744,907.19,48499,50088,24098,25990,40.8,80.2,14.6,5.2,1.3,0.1,6.8,8.8,12.6,34.3,33.7,19.5,49422,20186,"50,787"
"Lamb County, Texas",0.7505,0.2423,0.6082,1016.181,14709,13045,6471,6574,38,79.4,4.2,1.8,0.3,0.3,38,57.1,23.7,35.9,27.7,12.6,12879,4864,"48,981"
"Lampasas County, Texas",0.7284,0.2525,0.5714,712.84,17762,21627,10712,10915,44.7,87.3,5,3.9,2.4,0.8,13.7,19.3,8.6,31,42.2,18.2,21425,8486,"64,401"
"La Salle County, Texas",0.363,0.6286,0.1176,1486.691,5866,6664,3872,2792,39.7,81.9,3.9,1.5,0.4,0.1,47.1,73.6,31.2,45.1,16,7.7,5279,1857,"40,549"
"Lavaca County, Texas",0.7008,0.2877,0.7327,969.708,19210,20337,9962,10375,44.7,87.1,7.4,1.8,0.6,0.1,13,19.4,13.7,39.6,28.8,17.9,19945,8191,"54,421"
"Lee County, Texas",0.6682,0.313,0.5571,629.016,15657,17478,8766,8712,41.9,79.6,11.1,2.8,0.7,0.1,19.2,25.6,12.9,40.3,32.5,14.3,17126,6590,"59,469"
"Leon County, Texas",0.6895,0.2992,0.7437,1073.151,15335,15719,7788,7931,48.5,86.1,6.7,2.8,1,0.1,11.2,15.6,16.6,36.1,30.1,17.2,15677,6486,"51,582"
"Liberty County, Texas",0.6205,0.3641,0.5972,1158.417,70154,91628,45398,46230,35.8,71.8,8.8,3.1,0.8,0.1,27,33.6,21.9,38.9,29.3,9.9,86722,29469,"57,174"
"Limestone County, Texas",0.5953,0.3912,0.5031,905.288,22051,22146,11172,10974,41.7,70,18.6,2.9,1.1,0.2,15.5,22.6,15.5,34.9,33.9,15.7,21025,8237,"50,381"
"Lipscomb County, Texas",0.8284,0.1592,0.7938,932.179,3057,3059,1523,1536,40.9,79.6,0.7,4.3,0.6,0.3,31.3,36.7,14.1,29.9,30.5,25.5,3018,1220,"64,249"
"Live Oak County, Texas",0.7063,0.2782,0.6688,1039.696,12309,11335,6392,4943,44.4,90.5,2.4,2.2,0.6,0.2,21,42.3,23.3,31.8,32.1,12.8,9832,4067,"52,910"
"Llano County, Texas",0.7297,0.2484,0.6014,934.034,17044,21243,10423,10820,57.7,94.2,1.1,3.5,0.9,0.1,8.4,11.8,10.9,26.4,32,30.8,21068,9794,"61,037"
"Loving County, Texas",0.7949,0.1859,0.8485,668.925,67,64,37,27,34.5,96.9,4.7,7.8,4.7,3.1,7.8,1.6,5.8,17.3,76.9,0,64,25,"100,917"
"Lubbock County, Texas",0.7375,0.243,0.3216,895.599,242628,310639,152669,157970,33,75.2,10,2.8,3.7,0.2,22.5,35.1,12.1,25.9,29.8,32.1,299246,119463,"57,270"
"Lynn County, Texas",0.7231,0.2697,0.6215,891.867,6550,5596,2872,2724,37.8,78,2.7,2.8,0.6,0.3,28,42,21,28.5,27.4,23.1,5561,2119,"50,374"
"McCulloch County, Texas",0.7137,0.2719,0.7026,1065.598,8205,7630,3745,3885,47.5,89.6,2.6,2.5,0.9,0.3,19,31,19.5,33,33.5,14,7555,3231,"43,525"
"McLennan County, Texas",0.639,0.3411,0.2338,1037.101,213517,260579,126409,134170,34.8,71.2,16,2.9,2.6,0.2,19.3,26.3,13.6,26.9,33.2,26.3,250484,96527,"58,524"
"McMullen County, Texas",0.8155,0.1754,0.7888,1139.426,851,600,301,299,49.2,93.2,2.8,2.5,2.2,1.8,27.3,37.3,10.2,46.6,27.9,15.4,600,256,"63,120"
"Madison County, Texas",0.6439,0.3425,0.5816,466.065,12940,13455,7680,5775,36.5,63.9,20.2,1.9,1,0.1,20.1,25.4,21.7,39.3,27.2,11.8,11036,4166,"48,251"
"Marion County, Texas",0.5188,0.4712,0.4381,380.88,10941,9725,4730,4995,52.6,77.7,20.8,4,1,0.2,3.6,4,13,39.8,31.9,15.3,9616,4336,"43,178"
"Martin County, Texas",0.7799,0.2129,0.7264,914.944,4746,5237,2611,2626,35.1,81.8,2.4,3.1,0.6,0.2,27,43.1,19.3,33.4,26.4,21,5232,1846,"69,505"
"Mason County, Texas",0.7507,0.2315,0.6200,928.803,3738,3953,1979,1974,52.7,91.7,1,2.3,0.5,0.3,16.3,22.3,17.6,20.4,27,34.9,3946,1777,"56,690"
"Matagorda County, Texas",0.6087,0.3769,0.4453,1100.276,37957,36255,18008,18247,38.6,69.6,11.9,2.3,2.4,0.1,29.8,42.6,18.6,29.6,31.9,19.8,35882,13716,"50,054"
"Maverick County, Texas",0.3406,0.6496,-0.0946,1279.258,47297,57887,27922,29965,33.7,72,0.5,2.5,0.5,0.1,67.9,94.9,36.4,26.3,21.2,16,57415,18034,"41,815"
"Medina County, Texas",0.6673,0.3127,0.3917,1325.356,39304,50748,26081,24667,40.8,83.6,3.5,2.5,1,0.2,31,50.2,14.2,32.1,31.2,22.6,48602,17359,"62,907"
"Menard County, Texas",0.6485,0.3374,0.6089,902.03,2360,1962,977,985,53.2,87.8,1.7,2,0.5,0.6,19.4,33.7,17.9,25.4,29.5,27.2,1927,865,"41,507"
"Midland County, Texas",0.793,0.1896,0.5657,900.299,116009,169983,85846,84137,33.2,76.5,7.5,2.7,2.8,0.2,29.8,43.1,15.5,24.2,31.5,28.8,168229,60882,"84,837"
"Milam County, Texas",0.5691,0.4147,0.5189,1016.93,24238,24754,12297,12457,44.1,79.8,10.2,2.3,0.8,0.2,17.7,25.3,13.9,41,28.9,16.2,24408,9711,"53,320"
"Mills County, Texas",0.7511,0.2368,0.7768,748.261,5151,4456,2218,2238,50.1,92.3,1.2,3.4,0.6,0.1,13.8,16.3,14.7,30.9,29.7,24.7,4299,1843,"54,948"
"Mitchell County, Texas",0.6636,0.3252,0.6875,911.09,9698,8990,5495,3495,36.5,69.2,11.9,2.4,0.8,0.2,25.5,38.4,17.8,43.3,29,9.9,6800,2761,"44,476"
"Montague County, Texas",0.6754,0.3078,0.7660,930.906,19117,19965,9820,10145,45.1,94.4,1,4.4,0.6,0.1,8.8,11.8,13.5,36.7,32.3,17.5,19743,8112,"54,988"
"Montgomery County, Texas",0.7589,0.2192,0.4384,1041.735,293768,620443,305693,314750,37.2,78.9,6.9,3.1,4.5,0.3,20.6,26.4,10.4,23.1,30.1,36.4,616277,219796,"87,831"
"Moore County, Texas",0.7941,0.1966,0.5986,899.691,20121,21358,10922,10436,31.9,63.1,3.9,4.8,5,0.1,44,59.2,32.9,31.2,23,12.9,21230,7258,"61,833"
"Morris County, Texas",0.487,0.5021,0.3943,251.985,13048,11973,5773,6200,44.7,74.1,22.6,2.7,0.8,0.3,7.1,9.9,10.1,42,35.1,12.9,11879,4963,"44,957"
"Motley County, Texas",0.8006,0.1838,0.8558,989.562,1426,1063,526,537,49.2,93.6,1.7,4.1,1.7,1.3,7.2,14.4,13.4,29.2,35.8,21.6,1063,472,"47,835"
"Nacogdoches County, Texas",0.6639,0.3133,0.3130,946.537,59203,64653,30833,33820,33.4,70.7,18,2.5,1.6,0.1,16.3,21,14.7,30.5,30.1,24.7,60363,24713,"46,970"
"Navarro County, Texas",0.6017,0.3863,0.4549,1009.627,45124,52624,25992,26632,38.3,69.9,13.8,3,1.1,1.6,24.5,30.5,19.8,30,33.5,16.6,51367,18660,"51,015"
