Geographic Area Name,Bush 2000 percentage in decimal,Gore 2000 percentage in decimal,"2020 Margin in decimal ( + is Trump, - is Biden)",Land Area mi2,2000 Population,2020 Total Population,Male population,Female population,Median Age ,White %,Black %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander,Some Other Race,Hispanic or Latino (of any race) %,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Total Population part of Households,Total Households,Median Household Income
"Howard County, Nebraska",0.6226,0.3378,0.6089,569.337,6567,6475,3254,3221,43,98.4,0.7,1.1,0.5,0.1,2,2.3,4.7,39.9,35.3,20.2,6368,2616,"70,906"
"Jefferson County, Nebraska",0.6111,0.3538,0.4290,570.185,8333,7240,3572,3668,45.4,96.3,0.8,2.3,0.6,0.2,4.3,5,8.3,38.6,36.2,16.9,7127,3179,"57,098"
"Johnson County, Nebraska",0.5729,0.3759,0.3901,376.051,4488,5290,3139,2151,42.1,83,6.6,2.3,1.9,0,10.6,11.9,11.5,45.1,24.7,18.7,4200,1797,"50,886"
"Kearney County, Nebraska",0.7473,0.2178,0.5864,516.244,6882,6688,3354,3334,41,96.6,0.5,2,0.3,0.4,5.1,5.8,5.2,29,38.9,26.9,6621,2727,"72,694"
"Keith County, Nebraska",0.7672,0.2021,0.6365,1061.6,8875,8335,4141,4194,47.2,95.7,1.1,1.8,0.9,0.3,6.3,9,10.4,28.8,40.7,20.2,8268,3672,"53,637"
"Keya Paha County, Nebraska",0.8226,0.152,0.8057,773.072,983,769,387,382,49.1,98.7,0.8,2,0.1,0.4,1.8,2.6,4.7,30.3,37.2,27.8,769,353,"49,421"
"Kimball County, Nebraska",0.7577,0.2082,0.6899,951.846,4089,3434,1719,1715,49,96.3,1.1,3.2,0.5,0.1,4.9,7.6,12.1,38.3,36.9,12.7,3364,1501,"52,460"
"Knox County, Nebraska",0.6998,0.2607,0.5981,1108.35,9374,8391,4171,4220,44.5,86.6,0.8,13.2,0.7,0.2,2,2.2,7.6,35.7,37.8,18.8,8246,3435,"54,189"
"Lancaster County, Nebraska",0.5182,0.4168,-0.0776,837.548,250291,322608,161762,160846,34.7,86.9,6.2,2.5,5.4,0.2,6.4,8,6.7,21,32.2,40.1,307594,127884,"65,436"
"Lincoln County, Nebraska",0.61,0.3444,0.5465,2564.068,34632,34676,17278,17398,41.4,94.3,2.1,2.3,1.3,0.1,6.1,8.7,6.1,30.3,42.3,21.3,34070,14683,"61,702"
"Logan County, Nebraska",0.8155,0.1456,0.8200,570.66,774,716,353,363,46.1,98.6,0.4,2.5,0.8,0.7,2.2,3.2,4.1,24.6,45,26.4,716,286,"61,004"
"Loup County, Nebraska",0.7513,0.2222,0.6498,568.29,712,607,306,301,50.5,98,1.3,0.8,1.8,0.2,4.6,3,1.7,37.9,42.3,18,607,272,"53,369"
"McPherson County, Nebraska",0.8106,0.1595,0.8543,858.976,533,399,202,197,48.8,97.5,0.8,1.3,1.8,0,2.5,0.8,7,28.7,40.5,23.9,399,168,"54,138"
"Madison County, Nebraska",0.7497,0.2157,0.5349,572.743,35226,35585,17708,17877,37.4,88.6,2,3,1.7,0.2,12.5,15.5,7.9,31.4,36.4,24.3,34160,14024,"61,263"
"Merrick County, Nebraska",0.7126,0.2539,0.6249,484.881,8204,7668,3900,3768,42.8,96.3,1,2.4,0.8,0.2,4.2,4.9,6.8,37.5,39.3,16.3,7516,3072,"64,309"
"Morrill County, Nebraska",0.747,0.2152,0.6751,1423.838,5440,4555,2300,2255,44,92.2,0.7,2.9,0.9,0.4,10.8,14.2,9.4,34.3,36.8,19.6,4454,1905,"52,933"
"Nance County, Nebraska",0.6637,0.2985,0.5884,441.633,4038,3380,1717,1663,44.4,98.6,0.9,1.9,0.9,0.2,1.4,1.8,6.9,33.5,41.5,18,3278,1414,"56,880"
"Nemaha County, Nebraska",0.6462,0.3155,0.4391,407.382,7576,7074,3486,3588,38.7,96.8,1.8,2.2,0.7,0.1,2.2,2.9,9.2,28.8,32.7,29.4,6548,2814,"56,658"
"Nuckolls County, Nebraska",0.6963,0.2636,0.6282,575.155,5057,4095,2040,2055,50,98.4,0.4,1.6,0.2,0.1,3.5,2.9,7.9,32.6,36.9,22.7,4046,1894,"59,602"
"Otoe County, Nebraska",0.6271,0.3314,0.3781,615.631,15396,15912,7872,8040,42.2,94.8,1.2,2.1,1.1,0.1,6.8,7.9,7,33.4,33.2,26.4,15673,6390,"67,595"
"Pawnee County, Nebraska",0.6169,0.3436,0.5241,431.075,3087,2544,1265,1279,47.9,98.8,0.6,1,0.7,0.2,1.1,1.5,14.8,39.4,29.8,16,2511,1108,"50,501"
"Perkins County, Nebraska",0.8058,0.1674,0.7262,883.335,3200,2858,1427,1431,42.1,96.6,1,1.2,0.7,0.3,4.2,5.1,10.5,24,41.3,24.2,2830,1172,"61,156"
"Phelps County, Nebraska",0.7726,0.2019,0.6782,539.79,9747,8968,4489,4479,42.8,96.6,0.9,1.5,0.5,0.1,4.8,6.1,8,28.3,37.9,25.8,8745,3706,"66,986"
"Pierce County, Nebraska",0.7899,0.1777,0.7433,573.249,7857,7317,3676,3641,41,98.3,0.8,1.5,0.6,0,1.8,1.9,5.6,34,37.6,22.7,7225,2887,"64,607"
